name,location,area,urlinf,imginf
鵜の浜温泉（うのはま）,新潟県,中部,https://www.yukoyuko.net/onsen/0857,https://static.yukoyuko.net/images/onsen/onsen_0857_0001.jpg
あしずり温泉郷（あしずり）,高知県,四国,https://www.yukoyuko.net/onsen/0893,https://static.yukoyuko.net/images/onsen/onsen_0893_0001.jpg
北湯沢温泉（きたゆざわ）,北海道,北海道,https://www.yukoyuko.net/onsen/1075,https://static.yukoyuko.net/images/onsen/onsen_1075_0001.jpg
川治温泉（かわじ）,栃木県,関東,https://www.yukoyuko.net/onsen/0045,https://static.yukoyuko.net/images/onsen/onsen_0045_0001.jpg
吉良温泉（きら）,愛知県,中部,https://www.yukoyuko.net/onsen/0051,https://static.yukoyuko.net/images/onsen/onsen_0051_0001.jpg
塩田温泉（しおた）,兵庫県,近畿,https://www.yukoyuko.net/onsen/0062,https://static.yukoyuko.net/images/onsen/onsen_0062_0001.jpg
修善寺温泉（しゅぜんじ）,静岡県,中部,https://www.yukoyuko.net/onsen/0071,https://static.yukoyuko.net/images/onsen/onsen_0071_0001.jpg
淡路島・洲本温泉（あわじしま・すもと）,兵庫県,近畿,https://www.yukoyuko.net/onsen/0083,https://static.yukoyuko.net/images/onsen/onsen_0083_0001.jpg
岳温泉（だけ）,福島県,東北,https://www.yukoyuko.net/onsen/0086,https://static.yukoyuko.net/images/onsen/onsen_0086_0001.jpg
西丹沢・中川温泉（にしたんざわ・なかがわ）,神奈川県,関東,https://www.yukoyuko.net/onsen/0089,https://static.yukoyuko.net/images/onsen/onsen_0089_0001.jpg
中禅寺温泉（ちゅうぜんじ）,栃木県,関東,https://www.yukoyuko.net/onsen/0091,https://static.yukoyuko.net/images/onsen/onsen_0091_0001.jpg
土湯温泉（つちゆ）,福島県,東北,https://www.yukoyuko.net/onsen/0092,https://static.yukoyuko.net/images/onsen/onsen_0092_0001.jpg
長良川温泉（ながらがわ）,岐阜県,中部,https://www.yukoyuko.net/onsen/0102,https://static.yukoyuko.net/images/onsen/onsen_0102_0001.jpg
磐梯猪苗代はやま温泉（ばんだいいなわしろはやま）,福島県,東北,https://www.yukoyuko.net/onsen/0115,https://static.yukoyuko.net/images/onsen/onsen_0115_0001.jpg
日田温泉（ひた）,大分県,九州,https://www.yukoyuko.net/onsen/0117,https://static.yukoyuko.net/images/onsen/onsen_0117_0001.jpg
平湯温泉（奥飛騨温泉郷）（ひらゆ（おくひだ））,岐阜県,中部,https://www.yukoyuko.net/onsen/0119,https://static.yukoyuko.net/images/onsen/onsen_0119_0001.jpg
戸田温泉（へだ）,静岡県,中部,https://www.yukoyuko.net/onsen/0123,https://static.yukoyuko.net/images/onsen/onsen_0123_0001.jpg
松崎温泉（まつざき）,静岡県,中部,https://www.yukoyuko.net/onsen/0128,https://static.yukoyuko.net/images/onsen/onsen_0128_0001.jpg
弓ヶ浜温泉（ゆみがはま）,静岡県,中部,https://www.yukoyuko.net/onsen/0150,https://static.yukoyuko.net/images/onsen/onsen_0150_0001.jpg
穴原温泉（あなばら）,福島県,東北,https://www.yukoyuko.net/onsen/0178,https://static.yukoyuko.net/images/onsen/onsen_0178_0001.jpg
奥日光湯元温泉（おくにっこうゆもと）,栃木県,関東,https://www.yukoyuko.net/onsen/0183,https://static.yukoyuko.net/images/onsen/onsen_0183_0001.jpg
辰口温泉（たつのくち）,石川県,中部,https://www.yukoyuko.net/onsen/0251,https://static.yukoyuko.net/images/onsen/onsen_0251_0001.jpg
台温泉（花巻温泉郷）（だい（はなまき））,岩手県,東北,https://www.yukoyuko.net/onsen/0279,https://static.yukoyuko.net/images/onsen/onsen_0279_0001.jpg
八幡平温泉郷（はちまんたい）,岩手県,東北,https://www.yukoyuko.net/onsen/0284,https://static.yukoyuko.net/images/onsen/onsen_0284_0001.jpg
鹿児島温泉（かごしま）,鹿児島県,九州,https://www.yukoyuko.net/onsen/0328,https://static.yukoyuko.net/images/onsen/onsen_0328_0001.jpg
恵那峡温泉（えなきょう）,岐阜県,中部,https://www.yukoyuko.net/onsen/0361,https://static.yukoyuko.net/images/onsen/onsen_0361_0001.jpg
